GDP,Implied PPP Conversion Rate,Inflation,Import Volume,Export Volume,Population,Government Revenue,General Government Revenue,Currect Account Balance,Currect Account Balance
492.903,10.096,45.691,36.077,49.721,19.477,21.618,9.826,1.348,29.616
496.209,10.929,51.752,-1.088,-6.049,20.237,31.209,12.676,1.915,37.216
554.91,11.736,57.219,54.659,46.504,20.947,44.926,14.733,1.864,30.226
584.658,12.254,59.671,-2.541,-7.69,21.596,65.518,18.946,1.444,20.844
662.65,13.014,69.273,-9.417,-10.467,22.426,81.163,18.986,5.424,63.39
688.247,14.883,82.306,-8.876,-6.459,22.997,88.162,17.036,3.477,33.769
829.924,14.39,74.211,30.203,30.656,23.596,117.745,19.391,5.018,41.587
899.956,15.37,81.814,32.771,10.856,24.269,154.612,21.722,4.51,29.43
958.266,16.613,89.433,12.749,2.823,25.031,177.821,21.265,4.754,26.574
1092.118,17.242,94.687,30.54,-23.515,25.864,260.571,25.21,2.205,10.864
1154.178,17.509,101.543,3.61,-37.604,26.736,271.903,24.346,0.291,1.444
1185.306,17.036,103.053,-14.292,51.906,27.601,280.187,23.684,1.35,6.549
1197.012,17.023,104.218,16.07,-11.653,28.425,301.356,24.569,0.744,3.709
1222.917,17.446,109,-7.54,-14.811,29.2,344.327,28.156,1.627,9.029
1255.288,17.206,112.315,4.199,-6.6,29.7,347.829,27.059,1.431,7.576
1270.216,17.152,113.162,-5.188,28.012,31.6,405.873,30.57,2.237,12.158
1319.902,17.95,116.3,-7.473,-3.838,32.2,395.923,26.941,2.209,11.705
1288.869,19.123,122.1,-2.925,0.534,32.941,397.564,25.694,2.247,11.157
297.833,34.168,62.453,-9.901,-19.051,3.148,60.956,18.398,-0.295,-13.047
324.13,36.062,67.878,28.907,24.363,3.129,103.238,26.826,-0.178,-6.944
365.912,36.309,67.179,38.743,88.951,3.109,125.387,28.266,-0.062,-1.946
391.33,37.51,70.004,-3.432,16.254,3.089,130.642,26.066,-0.246,-7.07
423.784,38.081,72.474,23.272,23.9,3.06,145.639,25.848,-0.248,-6.315
443.009,38.864,73.692,11.868,3.878,3.051,154.595,25.323,-0.443,-10.179
467.501,40.093,76.123,8.409,9.51,3.04,167.224,24.674,-0.432,-7.695
493.283,40.276,77.8,10.704,20.63,3.027,184.355,24.992,-0.42,-5.849
520.544,40.343,79.385,8.434,6.026,3.011,204.533,25.434,-0.733,-9.106
551.27,40.105,81.38,5.354,12.576,2.993,226.283,25.928,-0.592,-6.656
584.254,40.763,83.843,18.942,16.993,2.97,252.291,26.13,-1.13,-10.58
628.073,41.643,85.7,3.538,-7.631,2.947,290.078,26.842,-2.031,-15.768
649.141,42.378,88.7,-2.231,3.321,2.928,298.487,26.093,-1.853,-15.383
673.204,43.756,91.8,-9.316,10.473,2.913,320.653,25.867,-1.351,-11.321
690.339,43.858,93.4,3.63,1.008,2.905,330.449,25.407,-1.666,-12.917
700.125,43.655,95.7,-7.602,-0.405,2.9,330.384,24.789,-1.257,-10.202
707.14,44.114,97.4,-0.611,8.291,2.895,323.709,23.978,-1.183,-9.253
719.688,42.894,98.1,5.416,3.309,2.889,366.569,26.272,-1.43,-10.797
735.657,42.694,100,0.076,5.272,2.881,379.231,26.44,-0.981,-8.609
760.042,42.39,102.165,8.3,10.396,2.876,418.463,28.419,-0.898,-7.572
788.941,41.231,104.004,5.993,10.099,2.884,430.397,27.756,-0.978,-7.492
821.061,40.817,105.844,5.765,3.484,2.883,449.389,27.474,-1.024,-6.758
838.908,40.291,107.143,4.716,1.675,2.881,460.349,27.414,-1.166,-7.628
811.13,39.427,108.225,-19.427,-27.496,2.878,425.904,26.487,-1.318,-8.888
3645.235,12.529,88.859,2.4,11.257,29.045,926.668,33.331,3.45,7.161
3831.142,12.002,93.258,6.5,1.653,29.507,774.511,27.363,-0.91,-1.888
3953.739,13.16,95.682,1.8,3.518,29.965,972.78,29.948,0.02,0.041
4103.981,15.739,95.969,7.6,3.325,30.506,1578.159,38.272,9.142,16.699
4227.1,15.319,100,11.2,-1.696,30.954,1479.104,34.991,7.06,12.896
4463.818,15.283,102.1,23.2,5.798,31.414,1603.284,35.449,4.359,7.68
4785.212,16.236,107.78,-2.911,6.754,31.885,1947.437,37.078,8.808,12.979
4990.977,17.748,110.14,21.906,2.729,32.366,2215.165,36.024,11.116,13.027
5285.444,19.983,111.49,6.465,4.954,32.855,3080.695,40.739,21.183,20.526
5374.477,21.433,115.77,0.444,-3.007,33.351,3639.905,42.814,28.95,24.738
5555.751,22.209,121.33,24.57,-1.882,33.858,3725.646,39.834,30.6,22.671
5686.875,25.138,127.23,37.277,-3.568,34.591,5253.052,47.566,34.449,20.146
5779.698,22.183,134.55,3.624,-8.443,35.268,3667.483,36.792,0.411,0.299
5988.698,25.449,138.216,-0.038,-3.218,35.978,4462.327,37.212,12.157,7.541
6162.37,29.476,145.348,6.21,-4.822,36.717,5838.342,40.019,19.802,9.9
6371.891,32.593,158.48,7.419,-3.652,37.495,6339.339,39.109,12.29,5.879
6550.304,33.43,160.3,7.574,-6.394,38.297,5957.546,35.786,0.835,0.398
6799.215,34.04,168.72,9.185,0.311,39.114,5738.068,33.305,-9.436,-4.413
7050.786,35.011,176.08,-6.076,5.733,39.963,5104.736,30.544,-27.29,-16.442
7276.412,37.156,188.33,-1.34,9.612,40.836,5011.581,28.614,-26.473,-16.542
7378.281,38.856,197.62,-0.845,0.042,41.721,6047.885,32.04,-22.331,-13.12
7466.821,40.63,202.96,-1.52,-7.913,42.578,6826.881,33.38,-16.914,-9.645
7526.555,39.553,207.9,-9.66,-2.954,43.424,6601.576,32.316,-16.955,-9.911
7157.754,37.666,215.21,-18.895,-4.154,44.227,5904.056,31.533,-18.711,-12.677
2.153,0.704,76.18,,,,0.47,27.202,,
2.251,0.716,78.52,,,,0.484,25.935,,
2.447,0.724,80.69,,,,0.543,25.935,,
2.646,0.727,83.36,,,,0.595,25.512,,
2.789,0.728,86.09,,,,0.591,23.253,,
2.923,0.731,88.69,,,,0.653,23.69,,
2.968,0.735,92.31,,,,0.714,24.722,,
2.803,0.737,93.12,,,,0.731,26.212,,
2.655,0.734,94.06,,,,0.697,26.358,,
2.602,0.728,95.65,,,0.07,0.74,28.453,,
2.602,0.714,97.72,,,0.07,0.768,29.466,,
2.473,0.695,98.75,,,0.07,0.8,32.228,,
2.385,0.675,98.93,,,0.07,0.848,35.272,,
2.445,0.662,98.07,,,0.071,0.831,33.763,,
2.48,0.665,97.55,,,0.072,0.878,34.905,,
2.572,0.643,98.47,,,0.073,1.006,38.426,,
2.581,0.63,100.81,,,0.075,1.008,37.973,,
2.622,0.622,101.567,,,0.076,1.049,38.478,,
2.675,0.619,102.592,,,0.078,1.071,38.016,0.568,18.01
2.354,0.618,102.385,,,0.078,1.022,40.75,0.41,14.336
509.567,0.046,0.119,8.432,6.02,15.671,0.747,34.882,-0.884,-9.412
533.472,0.064,0.278,-5.44,2.536,16.141,0.864,27.629,-1.867,-23.462
545.109,0.413,1.195,26.806,1.426,16.625,8.638,41.128,-1.71,-22.728
561.76,2.09,4.401,3.965,1.624,17.124,48.051,42.858,0.796,7.125
585.388,4.218,9.508,13.854,-2.578,17.637,90.32,37.463,-1.431,-13.092
665.385,10.086,19.548,-6.072,23.562,18.166,190.836,28.681,-0.15,-0.982
685.279,19.18,34.514,13.358,-1.931,18.711,394.898,29.715,-0.72,-4.04
760.338,24.925,45.217,9.402,13.537,19.273,609.686,30.987,0.681,2.892
874.608,34.408,53.596,36.633,28.148,19.851,1085.844,33.697,5.138,13.897
975.606,39.092,60.139,1.445,14.255,20.446,1685.031,40.027,10.69,20.408
1112.289,39.703,67.221,48.625,17.501,21.06,2124.712,42.44,10.581,16.212
1236.487,46.502,76.074,46.375,10.105,21.692,3217.433,48.431,7.194,8.126
1247.104,38.461,86.714,6.104,-2.64,22.342,2069.733,37.11,-7.572,-10.769
1307.703,50.047,100,-21.724,-3.266,23.013,3295.49,42.789,7.506,8.957
1353.106,64.606,111.376,10.929,-5.404,23.703,4776.149,45.483,13.085,11.705
1468.691,65.682,121.447,7.204,3.838,24.414,5053.803,41.34,13.853,10.818
1541.458,66.019,130.782,8.576,0.064,25.147,4848.609,36.746,8.348,6.107
1615.797,65.001,140.588,10.504,-2.112,25.901,4402.641,30.736,-3.746,-2.571
1631.043,68.182,157.587,-19.448,6.721,26.681,3366.744,24.134,-10.272,-8.84
1588.961,80.779,222.395,-30.63,-1.971,27.503,2899.97,17.523,-3.085,-3.051
1586.577,92.952,275.028,5.8,-1.252,28.377,3546.27,17.516,-0.633,-0.519
1554.124,117.318,326.194,-11.184,-10.724,29.25,5859.955,22.866,7.403,7.304
1545.803,139.415,381.299,-11.38,-5.925,30.128,6530.16,21.179,5.137,6.079
1462.556,159.398,477.015,-33.224,-7.335,31.031,7052.762,20.893,0.872,1.494
2.087,1.739,67.371,,,0.07,0.332,18.081,,
2.186,1.755,70.51,,,0.072,0.406,20.66,,
2.267,1.757,71.284,,,0.074,0.389,18.785,,
2.407,1.745,71.592,,,0.076,0.404,18.087,,
2.298,1.732,72.261,,,0.077,0.37,17.114,,
2.322,1.717,74.104,,,0.078,0.424,19.3,,
2.463,1.669,75.445,,,0.079,0.433,18.74,,
2.605,1.651,77.524,,,0.079,0.5,20.118,,
2.773,1.672,79.495,,,0.08,0.533,19.285,,
3.126,1.628,79.502,,,0.081,0.683,21.85,,
3.417,1.645,83.661,,,0.082,0.757,21.346,,
3.416,1.685,84.27,,,0.083,0.778,21.025,,
3.008,1.705,86.292,,,0.084,0.609,18.373,,
2.772,1.709,88.816,,,0.085,0.691,22.287,,
2.718,1.691,92.408,,,0.086,0.625,20.364,,
2.809,1.829,94.107,,,0.087,0.647,19.968,,
2.792,1.854,95.103,,,0.088,0.604,18.927,,
2.898,1.915,96.365,,,0.09,0.68,20.14,0.003,0.267
3.009,2.04,97.233,7.208,-0.129,0.091,0.87,24.104,0.029,2.194
3.175,2.06,96.143,9.057,1.911,0.092,0.951,24.512,-0.035,-2.428
3.274,2.094,98.408,1.023,-6.459,0.094,0.822,20.737,-0.115,-7.834
3.502,2.091,100.12,9.634,2.117,0.095,0.859,19.822,-0.233,-14.541
3.668,2.06,100.81,2.028,14.149,0.097,0.849,18.645,-0.112,-6.639
2.934,2.068,103.61,-41.522,-49.812,0.098,0.755,20.402,-0.109,-7.959
482.16,0.799,26.464,30.046,15.133,35.604,67.937,20.748,-12.288,-3.753
500.725,0.776,26.64,9.881,12.705,36.005,71.204,21.303,-14.641,-4.38
483.773,0.752,26.158,-15.955,-2.148,36.399,68.998,21.766,-12.094,-3.815
479.956,0.743,25.966,-2.407,1.867,36.784,69.368,21.83,-9.144,-2.878
458.795,0.718,25.565,-16.629,6.132,37.156,63.294,21.068,-3.952,-1.316
408.812,0.923,36.035,-53.553,0.238,37.516,69.698,19.943,8.621,7.666
445.423,0.999,37.352,48.933,5.016,37.87,98.878,23.526,7.972,5.597
485.115,1.031,39.631,51.165,0.003,38.226,130.964,26.996,2.966,1.798
528.056,1.103,44.516,18.375,11.55,38.592,161.749,27.766,4.929,2.473
570.549,1.217,48.897,12.966,4.559,38.971,202.363,28.267,6.499,2.791
621.943,1.362,53.038,22.202,5.96,39.356,271.853,30.308,6.046,2.1
647.176,1.647,56.876,14.597,-0.951,39.746,357.705,31.114,5.424,1.492
608.873,1.888,61.253,-23.858,-10.783,40.134,408.003,32.694,7.251,2.167
670.524,2.255,67.944,39.414,13.701,40.788,531.163,31.965,-1.623,-0.382
710.782,2.733,74.404,21.578,2.292,41.261,700.692,32.156,-5.341,-1.012
703.486,3.218,82.471,-5.952,-5.837,41.733,891.704,33.803,-2.139,-0.369
720.407,3.941,91.498,3.548,-3.688,42.203,1150.114,34.349,-13.125,-2.146
702.306,5.452,113.38,-10.842,-7.786,42.67,1584.387,34.601,-9.178,-1.628
721.487,6.867,,2.644,-1.633,43.132,2105.859,35.366,-17.623,-2.743
706.478,9.295,187.331,3.568,6.807,43.59,2868.941,34.867,-15.105,-2.713
726.39,10.257,233.781,14.235,-0.132,44.045,3670.115,34.428,-31.149,-4.838
707.755,14.221,345.167,-5.591,-0.264,44.495,4940.7,33.508,-27.085,-5.165
692.977,21.098,530.979,-21.107,12.155,44.939,7261.83,33.308,-3.709,-0.821
624.336,29.166,722.878,-10.722,-13.124,45.388,9197.044,33.466,3.313,0.852
1069.509,121.955,146.423,12.577,-7.434,3.14,126.688,15.751,-0.317,-19.315
1136.579,134.792,144.522,13.922,20.584,3.11,163.812,17.146,-0.416,-21.993
1172.611,133.158,147.481,-8.915,13.667,3.09,190.917,19.334,-0.313,-16.936
1241.239,128.477,148.049,4.176,13.732,3.08,170.113,16.494,-0.302,-15.78
1358.76,130.865,152.293,13.674,29.962,3.06,200.44,17.046,-0.221,-10.44
1559.952,130.048,156.627,11.817,31.282,3.05,228.132,16.744,-0.148,-6.219
1779.159,133.334,168.28,20.251,21.491,3.04,247.215,15.217,-0.174,-6.181
1965.485,138.036,171.173,5.021,-3.417,3.03,294.907,15.457,-0.079,-2.204
2242.881,137.875,171.899,18.147,17.757,3.01,401.359,17.895,-0.124,-2.529
